Tahun,Bulan,ABJ,Jumlah Kasus,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Diff
2023,12,0.9101,36,20.0,31.0,47.0,42.0,32.0,30.0,-11.0
2024,1,0.8634,49,36.0,20.0,31.0,47.0,42.0,32.0,16.0
2024,2,0.9036,40,49.0,36.0,20.0,31.0,47.0,42.0,13.0
2024,3,0.8968,34,40.0,49.0,36.0,20.0,31.0,47.0,-9.0
2024,4,0.8807,36,34.0,40.0,49.0,36.0,20.0,31.0,-6.0
2024,5,0.8707,47,36.0,34.0,40.0,49.0,36.0,20.0,2.0
2024,6,0.8902,52,47.0,36.0,34.0,40.0,49.0,36.0,11.0
2024,7,0.8813,49,52.0,47.0,36.0,34.0,40.0,49.0,5.0
2024,8,0.8696,47,49.0,52.0,47.0,36.0,34.0,40.0,-3.0
2024,9,0.8947,44,47.0,49.0,52.0,47.0,36.0,34.0,-2.0
2024,10,0.884,56,44.0,47.0,49.0,52.0,47.0,36.0,-3.0
2024,11,0.8804,54,56.0,44.0,47.0,49.0,52.0,47.0,12.0
2024,12,0.8915,37,54.0,56.0,44.0,47.0,49.0,52.0,-2.0
